Date,Open,High,Low,Close,Volume
31-Mar-17,52.08,52.24,50.60,51.39,5740157
30-Mar-17,53.98,54.06,52.07,52.09,4638129
29-Mar-17,51.15,53.43,51.05,53.18,4572290
28-Mar-17,49.88,51.33,49.78,51.22,3061402
27-Mar-17,49.62,50.10,49.27,49.72,2901886
24-Mar-17,50.29,50.60,49.91,50.24,2650633
23-Mar-17,50.25,50.49,50.06,50.09,3489006
22-Mar-17,49.99,50.83,49.99,50.54,2958388
21-Mar-17,51.20,51.39,50.21,50.30,2830226
20-Mar-17,50.90,51.07,50.24,50.93,2666788
17-Mar-17,51.23,52.16,51.18,51.22,5229431
16-Mar-17,51.13,51.64,50.54,51.08,3603236
15-Mar-17,50.75,51.28,50.15,51.07,3262577
14-Mar-17,49.63,50.54,49.28,50.33,4172419
13-Mar-17,50.22,50.78,50.00,50.16,4053645
10-Mar-17,50.91,50.99,49.79,50.23,6192508
9-Mar-17,49.25,50.74,49.05,50.63,7189588
8-Mar-17,51.05,51.35,49.28,49.41,5307203
7-Mar-17,52.37,52.46,51.20,51.28,3375332
6-Mar-17,52.07,52.49,51.88,52.19,2125378
3-Mar-17,52.02,52.27,51.81,52.09,2864719
2-Mar-17,51.96,52.25,51.42,51.92,4266577
1-Mar-17,53.04,53.45,52.73,52.95,4470492
28-Feb-17,52.78,52.88,52.09,52.59,3662808
27-Feb-17,53.42,53.58,52.51,52.93,5041261
24-Feb-17,52.62,54.23,52.51,53.41,5686300
23-Feb-17,54.35,55.23,51.28,52.98,11695938
22-Feb-17,55.33,56.10,54.74,54.91,4380615
21-Feb-17,56.06,56.50,55.75,55.89,3240878
17-Feb-17,55.00,55.49,54.68,55.44,2524390
16-Feb-17,55.77,55.98,54.96,55.25,2798380
15-Feb-17,55.08,56.23,54.73,55.59,4981665
14-Feb-17,56.46,56.67,54.53,55.50,7436011
13-Feb-17,57.27,57.88,56.76,57.18,1875306
10-Feb-17,57.44,57.71,56.92,57.38,2710626
9-Feb-17,57.49,57.72,56.77,56.92,2625008
8-Feb-17,56.36,57.90,55.81,56.93,3084581
7-Feb-17,57.59,57.59,55.75,57.03,4686799
6-Feb-17,59.64,59.92,57.81,57.87,2671642
3-Feb-17,58.56,59.97,58.56,59.64,2843115
2-Feb-17,58.02,59.29,57.45,59.09,3098348
1-Feb-17,60.33,60.66,57.37,57.78,5847598
31-Jan-17,60.09,60.30,59.10,59.82,4648863
30-Jan-17,61.51,61.78,59.55,59.95,3332799
27-Jan-17,62.22,62.49,61.29,62.08,3282846
26-Jan-17,61.81,62.75,61.48,62.55,3714099
25-Jan-17,61.02,61.92,60.85,61.43,3907602
24-Jan-17,61.27,61.56,60.50,60.96,4072785
23-Jan-17,61.55,61.98,60.66,60.77,2599573
20-Jan-17,63.00,63.18,61.58,61.81,2780207
19-Jan-17,62.83,63.00,61.87,62.22,2218706
18-Jan-17,62.32,63.36,62.16,62.91,2559609
17-Jan-17,63.16,63.92,62.25,63.10,3538101
13-Jan-17,62.72,63.25,62.36,62.78,1316786
12-Jan-17,64.13,64.13,62.66,63.02,2824560
11-Jan-17,63.13,63.82,62.17,63.77,2270522
10-Jan-17,62.63,63.09,62.30,62.87,2382181
9-Jan-17,62.73,62.90,62.11,62.36,2334827
6-Jan-17,63.52,63.75,62.56,63.12,2936702
5-Jan-17,63.80,64.11,62.81,63.25,2531935
4-Jan-17,63.87,64.21,63.08,63.59,2620101
3-Jan-17,64.71,64.92,62.08,63.78,4816806
30-Dec-16,63.87,64.20,63.27,63.47,2238291
29-Dec-16,64.35,64.61,63.51,63.87,1735026
28-Dec-16,66.41,66.66,64.34,64.59,2425048
27-Dec-16,66.54,66.94,66.03,66.34,1021755
23-Dec-16,66.46,66.98,66.02,66.40,1288753
22-Dec-16,66.62,67.20,66.25,66.74,1932958
21-Dec-16,67.41,67.42,66.53,66.64,1573302
20-Dec-16,67.11,67.36,66.44,66.75,1950729
19-Dec-16,66.66,67.37,66.17,66.70,1971319
16-Dec-16,67.10,67.10,65.90,66.39,3759629
15-Dec-16,65.45,67.04,65.00,66.74,2757765
14-Dec-16,66.98,67.76,65.63,65.74,3834158
13-Dec-16,67.15,67.72,65.95,67.35,4030310
12-Dec-16,68.25,69.00,66.64,66.79,4865582
9-Dec-16,67.14,67.19,65.92,66.56,2411886
8-Dec-16,66.75,67.40,66.11,66.50,2862583
7-Dec-16,66.37,66.72,65.27,66.39,5181765
6-Dec-16,65.62,66.76,64.06,66.35,2148338
5-Dec-16,65.98,67.76,65.76,66.41,3595636
2-Dec-16,65.09,65.90,64.64,65.11,2072971
1-Dec-16,67.39,67.63,64.72,65.14,4643623
30-Nov-16,64.89,66.83,63.67,65.95,6955994
29-Nov-16,59.76,61.47,58.05,60.74,4391339
28-Nov-16,63.41,63.61,61.25,61.35,4022125
25-Nov-16,63.14,63.65,62.40,62.84,1831983
23-Nov-16,62.18,63.80,62.00,63.65,2339919
22-Nov-16,63.56,63.97,61.12,62.47,3304613
21-Nov-16,63.70,64.40,62.60,63.27,3446243
18-Nov-16,61.60,62.74,61.35,62.08,2753635
17-Nov-16,63.48,63.74,61.14,61.40,2974241
16-Nov-16,62.78,63.62,62.14,62.45,2995183
15-Nov-16,59.96,63.50,59.96,63.39,6053676
14-Nov-16,57.53,58.98,57.22,58.93,2993417
11-Nov-16,57.95,58.98,56.97,57.72,3518077
10-Nov-16,58.04,58.60,57.23,58.32,3272272
9-Nov-16,57.03,59.08,56.79,58.02,3270482
8-Nov-16,56.94,57.64,56.50,56.93,2338623
7-Nov-16,57.60,57.76,56.19,57.45,4614505
4-Nov-16,55.20,56.79,54.61,56.14,6235546
3-Nov-16,58.46,58.46,54.73,55.52,8755974
2-Nov-16,59.18,60.18,58.54,59.46,4963101
1-Nov-16,60.32,60.36,58.38,59.53,2778762
31-Oct-16,60.42,60.74,59.39,59.48,2590945
28-Oct-16,61.63,62.62,60.20,60.72,3640812
27-Oct-16,61.99,62.73,61.25,61.70,2405243
26-Oct-16,60.02,61.98,59.91,61.68,3093697
25-Oct-16,61.57,61.99,60.39,60.57,2163457
24-Oct-16,62.25,62.53,60.47,61.58,3019002
21-Oct-16,62.97,63.13,61.87,62.19,3176498
20-Oct-16,63.51,63.84,62.60,63.48,3449160
19-Oct-16,63.50,64.91,63.00,64.32,3624739
18-Oct-16,62.44,63.69,62.42,62.83,4125723
17-Oct-16,61.64,62.20,60.63,61.85,3512024
14-Oct-16,62.62,62.78,61.62,61.77,3580306
13-Oct-16,62.00,62.73,60.51,62.07,4738727
12-Oct-16,62.71,63.17,61.83,62.71,3325818
11-Oct-16,63.90,64.18,62.42,62.87,2971356
10-Oct-16,63.98,65.00,63.71,64.16,2357116
7-Oct-16,64.25,64.60,62.77,63.33,3922773
6-Oct-16,64.85,65.17,63.71,64.09,3369492
5-Oct-16,64.96,65.71,64.36,64.65,3451217
4-Oct-16,64.16,65.81,63.03,63.79,6326980
3-Oct-16,63.73,64.64,62.89,63.95,2899987
30-Sep-16,64.33,65.09,63.75,63.87,5292485
29-Sep-16,63.32,66.00,62.93,63.74,7894833
28-Sep-16,60.07,64.06,59.53,63.70,8110999
27-Sep-16,59.02,59.88,58.11,59.59,4282437
26-Sep-16,61.11,61.21,59.85,59.94,3945899
23-Sep-16,60.17,61.44,59.16,60.02,6190895
22-Sep-16,61.57,62.19,60.78,61.00,7239837
21-Sep-16,58.21,60.94,58.09,60.89,7520898
20-Sep-16,57.58,58.46,57.33,57.49,3003063
19-Sep-16,59.09,59.25,57.76,57.85,3261981
16-Sep-16,57.73,58.86,57.56,58.56,5097992
15-Sep-16,57.21,58.74,56.90,58.70,4960317
14-Sep-16,57.11,58.81,56.56,56.75,5045256
13-Sep-16,58.60,59.60,57.20,57.51,7544599
12-Sep-16,59.08,60.19,58.30,59.90,6267853
9-Sep-16,58.49,59.78,58.34,59.40,9468778
8-Sep-16,56.56,59.33,56.00,59.05,10856939
7-Sep-16,56.97,58.99,54.78,55.13,14583568
6-Sep-16,51.38,52.00,50.73,51.67,2223823
2-Sep-16,50.34,51.54,50.32,51.29,2472670
1-Sep-16,49.35,49.86,48.53,49.79,3730974
31-Aug-16,51.89,52.02,49.64,49.70,4318643
30-Aug-16,53.10,53.83,52.15,52.43,1560592
29-Aug-16,52.05,53.15,51.85,52.83,1350740
26-Aug-16,52.79,53.18,52.00,52.35,1846007
25-Aug-16,52.58,53.04,51.96,52.51,1704647
24-Aug-16,52.97,53.33,52.60,52.74,1730182
23-Aug-16,53.07,53.48,52.51,53.39,2715262
22-Aug-16,52.58,53.30,52.32,53.15,1926494
19-Aug-16,53.39,53.70,52.97,53.49,2046781
18-Aug-16,51.99,53.75,51.77,53.60,3314970
17-Aug-16,50.81,51.94,50.45,51.63,3073020
16-Aug-16,49.67,51.34,48.87,50.97,3756938
15-Aug-16,49.37,50.07,49.09,49.88,2948672
12-Aug-16,49.70,50.15,48.90,49.01,2791208
11-Aug-16,49.34,50.28,48.94,49.59,3053477
10-Aug-16,50.40,50.78,48.71,48.78,3211808
9-Aug-16,50.66,50.84,49.82,50.23,3316497
8-Aug-16,50.15,51.74,50.07,50.67,4476904
5-Aug-16,49.90,50.06,48.04,49.64,5645717
4-Aug-16,51.18,52.90,49.94,50.18,5225768
3-Aug-16,50.15,51.87,49.40,51.73,4234178
2-Aug-16,50.50,50.83,48.82,49.94,2556020
1-Aug-16,51.82,52.00,49.62,49.87,3433324
29-Jul-16,51.15,52.74,51.00,52.50,2493592
28-Jul-16,51.72,52.49,51.54,51.84,1919516
27-Jul-16,52.82,53.89,51.37,51.76,2393734
26-Jul-16,51.69,52.87,51.58,52.75,1828611
25-Jul-16,53.04,53.24,51.65,51.97,2741749
22-Jul-16,53.90,54.25,53.17,53.65,2215548
21-Jul-16,54.75,55.93,53.27,53.40,2815555
20-Jul-16,54.35,55.06,53.41,54.60,2134868
19-Jul-16,56.11,56.28,54.91,55.11,2228560
18-Jul-16,56.91,57.07,56.08,56.33,2406966
15-Jul-16,57.46,57.64,56.70,57.12,2633024
14-Jul-16,57.36,57.73,56.80,56.88,1950706
13-Jul-16,57.54,57.83,56.04,56.54,2718042
12-Jul-16,56.40,58.34,56.20,57.54,2963377
11-Jul-16,55.54,56.25,55.04,55.11,2023452
8-Jul-16,55.70,55.99,54.68,55.17,2592281
7-Jul-16,55.97,56.67,54.45,54.90,2323167
6-Jul-16,54.39,55.47,54.18,55.30,2420512
5-Jul-16,55.41,56.13,53.72,54.67,2374879
1-Jul-16,55.76,57.38,55.40,56.67,2583594
30-Jun-16,55.82,56.08,55.09,55.67,3052748
29-Jun-16,54.76,56.23,54.60,55.81,2701734
28-Jun-16,53.42,54.20,52.95,54.18,2438262
27-Jun-16,53.88,54.16,51.38,52.00,4084473
24-Jun-16,55.50,56.92,54.80,54.86,6229095
23-Jun-16,57.14,58.18,56.54,58.16,3879827
22-Jun-16,56.62,56.85,55.75,56.43,2806740
21-Jun-16,54.82,57.00,54.27,56.63,2897007
20-Jun-16,54.99,55.62,54.45,55.32,2245993
