Date,Open,High,Low,Close,Volume
31-Mar-17,80.75,81.11,80.55,80.56,3789950
30-Mar-17,81.04,81.22,80.50,80.99,2421423
29-Mar-17,80.83,81.33,80.45,81.14,5686691
28-Mar-17,80.92,81.05,80.62,80.74,7442253
27-Mar-17,80.70,81.16,80.39,81.03,5272212
24-Mar-17,80.85,81.47,80.85,81.00,3010258
23-Mar-17,80.74,81.35,80.68,80.86,4194824
22-Mar-17,80.70,81.19,80.36,81.00,4419781
21-Mar-17,81.80,81.90,80.72,81.12,5343909
20-Mar-17,82.16,82.24,81.28,81.42,4423782
17-Mar-17,81.81,82.34,81.70,82.23,11360911
16-Mar-17,83.24,83.47,81.61,81.83,6347398
15-Mar-17,82.60,83.45,82.57,83.30,3267104
14-Mar-17,82.66,84.00,82.14,82.52,3591993
13-Mar-17,82.99,83.19,82.44,82.89,3134236
10-Mar-17,83.00,83.19,82.58,83.04,4034472
9-Mar-17,82.15,82.88,81.89,82.79,3478828
8-Mar-17,81.40,82.40,81.27,82.22,4018613
7-Mar-17,81.18,81.72,81.10,81.40,2594882
6-Mar-17,81.42,81.86,81.28,81.54,2681761
3-Mar-17,81.62,82.00,81.34,81.86,2775683
2-Mar-17,81.90,82.47,81.49,81.99,4069138
1-Mar-17,81.31,82.28,80.96,82.07,4995977
28-Feb-17,80.51,81.13,80.46,80.91,3749326
27-Feb-17,81.03,81.16,80.65,80.75,3589002
24-Feb-17,80.54,81.05,80.44,81.03,4489059
23-Feb-17,80.25,80.93,79.95,80.74,4552670
22-Feb-17,80.25,80.47,79.24,79.62,5507981
21-Feb-17,80.00,80.98,79.80,80.56,7313051
17-Feb-17,77.86,78.98,77.80,78.88,9954648
16-Feb-17,77.72,78.00,77.16,77.99,4152633
15-Feb-17,76.64,77.89,76.57,77.70,4244303
14-Feb-17,77.00,77.30,76.46,77.05,3781965
13-Feb-17,76.27,76.93,76.15,76.92,4081591
10-Feb-17,75.85,76.26,75.71,76.15,3427117
9-Feb-17,75.77,75.88,75.44,75.71,4367492
8-Feb-17,76.07,76.14,75.52,75.60,3668198
7-Feb-17,75.87,76.16,75.52,76.12,3898535
6-Feb-17,76.32,76.34,75.52,75.98,3817624
3-Feb-17,76.13,76.50,75.67,76.34,4985915
2-Feb-17,75.58,76.29,75.44,75.92,5357309
1-Feb-17,75.28,76.04,75.23,76.00,5618319
31-Jan-17,74.59,76.23,74.27,76.02,7828178
30-Jan-17,74.68,74.94,74.32,74.67,4372073
27-Jan-17,74.54,75.23,74.47,74.95,4903039
26-Jan-17,74.49,74.58,73.89,74.04,3699426
25-Jan-17,73.99,74.61,73.59,74.49,6171222
24-Jan-17,74.64,74.73,73.59,73.83,6430264
23-Jan-17,74.72,75.14,74.36,74.77,4523412
20-Jan-17,75.51,75.68,74.72,74.99,8898612
19-Jan-17,75.30,75.72,74.94,75.30,6753741
18-Jan-17,76.27,76.27,75.21,75.67,5833131
17-Jan-17,75.06,75.95,74.37,75.82,7084447
13-Jan-17,75.00,75.30,74.66,75.09,5455763
12-Jan-17,74.06,75.23,73.74,75.11,6462636
11-Jan-17,75.12,75.12,73.38,74.44,7475395
10-Jan-17,74.27,75.27,74.12,74.90,7681694
9-Jan-17,73.30,74.11,73.20,73.82,9671972
6-Jan-17,71.14,72.88,71.10,72.87,8985597
5-Jan-17,71.48,71.51,70.59,70.83,6217295
4-Jan-17,70.90,71.66,70.82,71.27,7806756
3-Jan-17,70.25,71.03,69.35,70.61,11125439
30-Dec-16,71.79,72.00,71.08,71.23,5631289
29-Dec-16,71.73,71.98,71.33,71.54,3893469
28-Dec-16,71.87,72.49,71.72,71.81,5581682
27-Dec-16,72.03,72.29,71.69,71.77,3256597
23-Dec-16,71.76,72.24,71.53,71.95,3124965
22-Dec-16,71.50,72.07,71.13,71.74,5846714
21-Dec-16,72.12,72.32,71.22,71.58,7623966
20-Dec-16,73.08,73.37,72.32,72.44,6851461
19-Dec-16,73.52,73.78,73.01,73.10,4585055
16-Dec-16,73.63,74.26,73.32,73.46,9969735
15-Dec-16,73.33,73.98,72.93,73.44,6240281
14-Dec-16,73.49,73.81,72.84,73.30,5439418
13-Dec-16,73.92,74.31,73.07,73.37,6630678
12-Dec-16,73.36,74.09,73.31,73.71,6144778
9-Dec-16,72.25,73.41,72.07,73.35,7160431
8-Dec-16,72.11,72.20,71.42,72.07,9466263
7-Dec-16,71.90,72.30,71.05,72.22,7482092
6-Dec-16,72.06,72.43,71.58,72.11,6504670
5-Dec-16,72.56,72.66,71.53,71.67,8078168
2-Dec-16,72.55,72.64,71.79,72.01,6521589
1-Dec-16,73.01,73.24,71.04,71.88,9619233
30-Nov-16,73.71,73.98,72.35,73.01,11613719
29-Nov-16,74.40,74.71,72.77,73.42,6760994
28-Nov-16,75.45,75.60,73.88,73.99,7525125
25-Nov-16,76.41,76.44,75.08,75.52,3045998
23-Nov-16,73.26,76.10,73.19,75.78,14397357
22-Nov-16,74.25,75.36,72.03,73.60,31140072
21-Nov-16,81.22,81.69,80.51,80.58,7387535
18-Nov-16,81.71,81.91,80.82,80.93,4674186
